"nom";"prenom";"telephone";"dateNaissance";"adresse";"ville";"emailParent"
"Stewart";"Alice";123456839;1999-12-23;"41, Avenue Matignon";"Toulouse";"flora.stewart@deezer.com"
"Sanchez";"Julie";123456840;1999-12-20;"41, Boulevard de Ménilmontant";"Toulouse";"dorian.sanchez@booking.com"
"Morris";"Heather";123456841;1999-12-22;"37, Boulevard Voltaire";"Toulouse";"angele.morris@journaldunet.com"
"Rogers";"Teresa";123456842;2003-12-21;"26, Boulevard de la Villette";"Toulouse";"bastien.rogers@reverso.net"
"Reed";"Doris";123456843;1999-12-17;"19, Avenue Matignon";"Toulouse";"angele.reed@credit-agricole.fr"
"Cook";"Gloria";123456844;1999-12-25;"19, Boulevard Malsherbes";"Toulouse";"emilien.cook@outbrain.com"
"Morgan";"Evelyn";123456845;1999-12-18;"19, Avenue de Breteuil";"Toulouse";"candice.morgan@boursorama.com"
"Bell";"Jean";123456846;1999-12-24;"12, Avenue de Suffren ";"Toulouse";"guillaume.bell@amazon.com"
"Murphy";"Cheryl";123456847;1999-12-19;"30, Rue de la Paix";"Toulouse";"mailys.murphy@labanquepostale.fr"
"Bailey";"Mildred";123456848;2003-12-23;"33, Rue de Rivoli";"Toulouse";"william.bailey@vente-privee.com"
"Rivera";"Katherine";123456849;1999-12-20;"27, Rue de Vaugirard";"Toulouse";"capucine.rivera@seloger.com"
"Cooper";"Joan";123456850;1999-12-22;"25, Avenue Mozart";"Toulouse";"dylan.cooper@ovh.net"
"Richardson";"Ashley";123456851;1999-12-21;"15, Boulevard Saint-Michel";"Toulouse";"elina.richardson@imgur.com"
"Cox";"Judith";123456852;1999-12-17;"20, Rue Lafayette";"Toulouse";"jean.cox@colissimo.fr"
"Howard";"Rose";123456853;1999-12-25;"27, Rue de Rivoli";"Toulouse";"leonie.howard@wordpress.org"
"Ward";"Janice";123456854;1999-12-18;"37, Rue de la Paix";"Toulouse";"aymeric.ward@bfmtv.com"
"Torres";"Kelly";123456855;1999-12-24;"17, Place Pigalle";"Toulouse";"chiara.torres@clubic.com"
"Peterson";"Nicole";123456856;1999-12-19;"41, Rue de Rivoli";"Toulouse";"oscar.peterson@tripadvisor.fr"
"Gray";"Judy";123456857;1999-12-23;"42, Place Vendôme";"Toulouse";"salome.gray@laposte.net"
"Ramirez";"Christina";123456858;1999-12-20;"18, Avenue de Neuilly";"Toulouse";"florian.ramirez@rueducommerce.fr"
"James";"Kathy";123456859;1999-12-22;"26, Avenue Henri-Martin";"Toulouse";"constance.james@liberation.fr"
"Watson";"Theresa";123456860;1999-12-21;"16, Avenue de Breteuil";"Toulouse";"alex.watson@01net.com"
"Brooks";"Beverly";123456861;1999-12-17;"23, Avenue de Breteuil";"Toulouse";"andrea.brooks@lepoint.fr"
"Kelly";"Denise";123456862;1999-12-25;"41, Place Pigalle";"Toulouse";"etienne.kelly@doctissimo.fr"
"Sanders";"Tammy";123456863;1999-12-18;"30, Place Vendôme";"Toulouse";"flora.sanders@aliexpress.com"
"Price";"Irene";123456864;1999-12-24;"37, Rue Lecourbe";"Toulouse";"dorian.price@bnpparibas.net"
"Bennett";"Jane";123456865;1999-12-19;"26, Champs-Élysées";"Toulouse";"angele.bennett@vimeo.com"
"Wood";"Lori";123456866;1999-12-23;"21, Boulevard de la Villette";"Toulouse";"bastien.wood@openclassrooms.com"
"Barnes";"Rachel";123456867;1999-12-20;"27, Avenue de Neuilly";"Toulouse";"angele.barnes@ask.com"
"Ross";"Marilyn";123456868;1999-12-22;"24, Boulevard Saint-Germain";"Toulouse";"emilien.ross@instagram.com"
"Henderson";"Andrea";123456869;1999-12-21;"16, Avenue Matignon";"Toulouse";"candice.henderson@linternaute.com"
"Coleman";"Kathryn";123456870;1999-12-17;"22, Faubourg Saint-Honoré";"Toulouse";"guillaume.coleman@ovh.com"
"Jenkins";"Louise";123456871;1999-12-25;"32, Place de la Bourse";"Toulouse";"mailys.jenkins@pinterest.com"
"Perry";"Sara";123456872;2003-12-18;"15, Avenue Foch";"Toulouse";"william.perry@msn.com"
"Powell";"Anne";123456873;1999-12-24;"19, Boulevard des Capucines";"Toulouse";"capucine.powell@voyages-sncf.com"
"Long";"Jacqueline";123456874;1999-12-19;"21, Place Pigalle";"Toulouse";"dylan.long@over-blog.com"
"Patterson";"Wanda";123456875;2003-12-23;"32, Avenue de Neuilly";"Toulouse";"elina.patterson@stackoverflow.com"
"Hughes";"Bonnie";123456876;1999-12-20;"19, Avenue Henri-Martin";"Toulouse";"jean.hughes@paypal.com"
"Flores";"Julia";123456877;1999-12-22;"28, Avenue de Breteuil";"Toulouse";"leonie.flores@priceminister.com"
"Washington";"Ruby";123456878;1999-12-21;"20, Avenue de Breteuil";"Toulouse";"aymeric.washington@societe.com"
"Butler";"Lois";123456879;1999-12-17;"41, Place Pigalle";"Toulouse";"chiara.butler@20minutes.fr"
"Simmons";"Tina";123456880;1999-12-25;"21, Place Vendôme";"Toulouse";"oscar.simmons@apple.com"
"Foster";"Phyllis";123456881;1999-12-18;"25, Avenue Henri-Martin";"Toulouse";"salome.foster@pole-emploi.fr"
"Gonzales";"Norma";123456882;2003-12-24;"33, Avenue de Breteuil";"Toulouse";"florian.gonzales@leparisien.fr"
"Bryant";"Paula";123456883;1999-12-19;"32, Place Pigalle";"Toulouse";"constance.bryant@fnac.com"
"Alexander";"Diana";123456884;1999-12-23;"13, Boulevard Voltaire";"Toulouse";"alex.alexander@lexpress.fr"
"Russell";"Annie";123456885;1999-12-20;"32, Rue de Vaugirard";"Toulouse";"andrea.russell@bing.com"
"Griffin";"Lillian";123456886;1999-12-22;"37, Rue Lafayette";"Toulouse";"etienne.griffin@tf1.fr"
"Diaz";"Emily";123456887;1999-12-21;"40, Place Pigalle";"Toulouse";"flora.diaz@microsoft.com"
"Hayes";"Robin";123456888;2003-12-26;"15, Avenue Henri-Martin";"Toulouse";"dorian.hayes@deezer.com"
